"Problem","Severity","File","Line","Column","Rule","Description","URL","Category","Engine"
"1","3","D:\leftmain\coreDevSecurityReview\force-app\main\default\classes\CustomWelcomeMatController.cls","39","18","ApexCRUDViolation","Validate CRUD permission before SOQL/DML operation or enforce user mode","https://pmd.github.io/pmd-6.55.0/pmd_rules_apex_security.html#apexcrudviolation","Security","pmd"
"2","3","D:\leftmain\coreDevSecurityReview\force-app\main\default\classes\Lmr_SmrtPhoneUtils_cls.cls","33","35","ApexSOQLInjection","Avoid untrusted/unescaped variables in DML query","https://pmd.github.io/pmd-6.55.0/pmd_rules_apex_security.html#apexsoqlinjection","Security","pmd"
"3","3","D:\leftmain\coreDevSecurityReview\force-app\main\default\classes\Lmr_SmrtPhone_cls.cls","515","27","ApexSuggestUsingNamedCred","Suggest named credentials for authentication","https://pmd.github.io/pmd-6.55.0/pmd_rules_apex_security.html#apexsuggestusingnamedcred","Security","pmd"
"4","3","D:\leftmain\coreDevSecurityReview\force-app\main\default\classes\Lmr_SmrtPhone_cls.cls","560","30","ApexSuggestUsingNamedCred","Suggest named credentials for authentication","https://pmd.github.io/pmd-6.55.0/pmd_rules_apex_security.html#apexsuggestusingnamedcred","Security","pmd"
"5","3","D:\leftmain\coreDevSecurityReview\force-app\main\default\classes\MyProfilePageController.cls","45","17","ApexCRUDViolation","Validate CRUD permission before SOQL/DML operation or enforce user mode","https://pmd.github.io/pmd-6.55.0/pmd_rules_apex_security.html#apexcrudviolation","Security","pmd"
"6","3","D:\leftmain\coreDevSecurityReview\force-app\main\default\classes\SelectEmailTemplateController.cls","71","27","ApexCRUDViolation","Validate CRUD permission before SOQL/DML operation or enforce user mode","https://pmd.github.io/pmd-6.55.0/pmd_rules_apex_security.html#apexcrudviolation","Security","pmd"
"7","3","D:\leftmain\coreDevSecurityReview\force-app\main\default\classes\SelectEmailTemplateController.cls","71","27","ApexCRUDViolation","Validate CRUD permission before SOQL/DML operation or enforce user mode","https://pmd.github.io/pmd-6.55.0/pmd_rules_apex_security.html#apexcrudviolation","Security","pmd"
"8","3","D:\leftmain\coreDevSecurityReview\force-app\main\default\classes\SendSMSCallRail.cls","13","27","ApexSuggestUsingNamedCred","Suggest named credentials for authentication","https://pmd.github.io/pmd-6.55.0/pmd_rules_apex_security.html#apexsuggestusingnamedcred","Security","pmd"
"9","3","D:\leftmain\coreDevSecurityReview\force-app\main\default\classes\SendSMSCallRail.cls","34","28","ApexSuggestUsingNamedCred","Suggest named credentials for authentication","https://pmd.github.io/pmd-6.55.0/pmd_rules_apex_security.html#apexsuggestusingnamedcred","Security","pmd"
"10","3","D:\leftmain\coreDevSecurityReview\force-app\main\default\classes\TESTINGCOPADO_AccountCreation.cls","10","9","ApexCRUDViolation","Validate CRUD permission before SOQL/DML operation or enforce user mode","https://pmd.github.io/pmd-6.55.0/pmd_rules_apex_security.html#apexcrudviolation","Security","pmd"
"11","3","D:\leftmain\coreDevSecurityReview\force-app\main\default\classes\TESTINGCOPADO_AccountCreation.cls","23","9","ApexCRUDViolation","Validate CRUD permission before SOQL/DML operation or enforce user mode","https://pmd.github.io/pmd-6.55.0/pmd_rules_apex_security.html#apexcrudviolation","Security","pmd"
"12","3","D:\leftmain\coreDevSecurityReview\force-app\main\default\classes\TESTINGCOPADO_AccountCreation2.cls","9","9","ApexCRUDViolation","Validate CRUD permission before SOQL/DML operation or enforce user mode","https://pmd.github.io/pmd-6.55.0/pmd_rules_apex_security.html#apexcrudviolation","Security","pmd"
"13","3","D:\leftmain\coreDevSecurityReview\force-app\main\default\classes\TwnsqrForLeadCtrl.cls","31","52","ApexOpenRedirect","Apex classes should safely redirect to a known location","https://pmd.github.io/pmd-6.55.0/pmd_rules_apex_security.html#apexopenredirect","Security","pmd"
"14","3","D:\leftmain\coreDevSecurityReview\force-app\main\default\classes\TwnsqrForLeadCtrl.cls","89","31","ApexSuggestUsingNamedCred","Suggest named credentials for authentication","https://pmd.github.io/pmd-6.55.0/pmd_rules_apex_security.html#apexsuggestusingnamedcred","Security","pmd"
"15","3","D:\leftmain\coreDevSecurityReview\force-app\main\default\classes\TwnsqrForOpportunityCtrl.cls","55","31","ApexSuggestUsingNamedCred","Suggest named credentials for authentication","https://pmd.github.io/pmd-6.55.0/pmd_rules_apex_security.html#apexsuggestusingnamedcred","Security","pmd"
"16","3","D:\leftmain\coreDevSecurityReview\force-app\main\default\classes\TwnsqrForOpportunityCtrl.cls","102","52","ApexOpenRedirect","Apex classes should safely redirect to a known location","https://pmd.github.io/pmd-6.55.0/pmd_rules_apex_security.html#apexopenredirect","Security","pmd"
"17","3","D:\leftmain\coreDevSecurityReview\force-app\main\default\classes\TwnsqrForTransactionCtrl.cls","60","31","ApexSuggestUsingNamedCred","Suggest named credentials for authentication","https://pmd.github.io/pmd-6.55.0/pmd_rules_apex_security.html#apexsuggestusingnamedcred","Security","pmd"
"18","3","D:\leftmain\coreDevSecurityReview\force-app\main\default\classes\TwnsqrForTransactionCtrl.cls","107","52","ApexOpenRedirect","Apex classes should safely redirect to a known location","https://pmd.github.io/pmd-6.55.0/pmd_rules_apex_security.html#apexopenredirect","Security","pmd"
"19","3","D:\leftmain\coreDevSecurityReview\force-app\main\default\classes\TwnsqrUpdateController.cls","123","27","ApexSuggestUsingNamedCred","Suggest named credentials for authentication","https://pmd.github.io/pmd-6.55.0/pmd_rules_apex_security.html#apexsuggestusingnamedcred","Security","pmd"
"20","3","D:\leftmain\coreDevSecurityReview\force-app\main\default\classes\batchCadence.cls","297","43","ApexSuggestUsingNamedCred","Suggest named credentials for authentication","https://pmd.github.io/pmd-6.55.0/pmd_rules_apex_security.html#apexsuggestusingnamedcred","Security","pmd"
"21","3","D:\leftmain\coreDevSecurityReview\force-app\main\default\classes\batchCadence.cls","325","48","ApexSuggestUsingNamedCred","Suggest named credentials for authentication","https://pmd.github.io/pmd-6.55.0/pmd_rules_apex_security.html#apexsuggestusingnamedcred","Security","pmd"
"22","3","D:\leftmain\coreDevSecurityReview\force-app\main\default\classes\batchCadence.cls","367","39","ApexSuggestUsingNamedCred","Suggest named credentials for authentication","https://pmd.github.io/pmd-6.55.0/pmd_rules_apex_security.html#apexsuggestusingnamedcred","Security","pmd"
